Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Voznik/voznica tovornjaka v mednarodnem prometu - m/ž,/,Velenje,"RAKAN TRANSPORT, Rade Rakanović s.p.",https://www.zaposlitev.info/delo/voznik-voznica-tovornjaka-v-mednarodnem-prometu-m-z/,"        Vozniki/voznice težkih tovornjakov in vlačilcev vozijo in skrbijo za težka motorna vozila za prevoz blaga, tekočin in težkih materialov na kratke in dolge razdalje.",19.2.2021,Savinjska,zaposlitev.info
Full-stack razvijalec programske opreme M/Ž,/,"Arja vas 101, 3301 Petrovče",Etrust d.o.o.,https://www.zaposlitev.info/delo/full-stack-razvijalec-programske-opreme-m-z-3/,"        V našem podjetju ustvarjamo, vzdržujemo in optimiziramo rešitve za proizvodne informacijske sisteme (MES).  Zaradi povečanega obsega dela iščemo novega sodelavca, ki ga navdihuje izvajanje inovativnih pristopov, je raziskovalno usmerjen in...",16.2.2021,Savinjska,zaposlitev.info
Preprosta ključavničarska dela,/,Nova Cerkev,SIMK Ključavničarstvo Silvester Kresnik s.p.,https://www.zaposlitev.info/delo/preprosta-kljucavnicarska-dela-2/,"         	različna obdelava kovin razrez, brušenje, vrtanje, krivljenje, čiščenje 	pomoč pri sestavi izdelkov in polizdelkov 	pomoč pri montažah na terenu (območje Slovenije), 	pomoč pri nakladanju in razkladanju ",15.2.2021,Savinjska,zaposlitev.info
ELEKTROMONTER M/ž,/,Celje,"ELEKTROSIGNAL, D.O.O. Lava 6a, 3000 Celje",https://www.zaposlitev.info/delo/elektromonter-m-z-2/,         	izvajanje elektromonterskih in elektromontažnih del 	vezava elektro omar,09.2.2021,Savinjska,zaposlitev.info
Elektroinštalater,/,Celje in okolica,Elektroinštalacije Jernej Bajc s.p.,https://www.zaposlitev.info/delo/elektroinstalater-3/,        Izvedba elektroinštalacij v stanovanjskih in industrijskih objektih.,02.2.2021,Savinjska,zaposlitev.info
Prodajalec m/ž,/,Mozirje,Bartog d.o.o.,https://www.zaposlitev.info/delo/prodajalec-m-z/,"         	Prodaja blaga v trgovini z avto deli in pnevmatikami, 	svetovanje kupcem za prodajni asortima, 	skrb za zalogo - iskanje novih potencialnih kupcev, 	skrb za urejenost trgovine.",21.1.2021,Savinjska,zaposlitev.info
SERVISER (m/ž),/,Lesce,PROCHROM-COMP d.o.o.,https://www.zaposlitev.info/delo/serviser-m-z-3/,,18.2.2021,Gorenjska,zaposlitev.info
Tržnik prodaje in storitev,/,Škofja Loka in teresnko delo,"SG GUZELJ, d.o.o.",https://www.zaposlitev.info/delo/trznik-prodaje-in-storitev-4/,"        Opis delovnega mesta: 	aktivno delovanje na trgu - komunikacija z obstoječimi in potencialnimi strankami, pogajanja, priprava ponudb, sklepanje pogodb, skrb za njihovo realizacijo (spremljanje strank, nadzor nad izvajanjem storitve, spreml...",17.2.2021,Gorenjska,zaposlitev.info
VODJA RAČUNOVODSTVA (M/Ž),/,Žiri,Alpina d.o.o.,https://www.zaposlitev.info/delo/vodja-racunovodstva-m-z-2/,"        Za razpisano delovno mesto iščemo kandidata, ki izpolnjuje naslednje pogoje: 	univerzitetna izobrazba ekonomske smeri, 	najmanj 4 leta primerljivih delovnih izkušenj, prednost imajo kandidati s poznavanjem področja proizvodnje in trgovine,",16.2.2021,Gorenjska,zaposlitev.info
VIŠJI FINANČNO RAČUNOVODSKI REFERENT (M/Ž),/,Žiri,Alpina d.o.o.,https://www.zaposlitev.info/delo/visji-financno-racunovodski-referent-m-z-2/,"        Za razpisano delovno mesto iščemo kandidata, ki izpolnjuje naslednje pogoje: 	Višja ali visoka izobrazba ekonomske smeri, 	vsaj 2 leti primerljivih delovnih izkušenj, prednost imajo kandidati s poznavanjem področja proizvodnje in trgovine,",16.2.2021,Gorenjska,zaposlitev.info
Terenski delavec / laborant – M/Ž,/,Ljubljana,GEOINŽENIRING d.o.o.,https://www.zaposlitev.info/delo/terenski-delavec-laborant-m-z/,"         	Izvajanje geotehničnih meritev, pomoč v geotehničnem laboratoriju",15.2.2021,Gorenjska,zaposlitev.info
GEOTEHNIČNO PROJEKTIRANJE IZVAJANJE GOELOŠKO GEOTEHNIČNIH RAZISKAV – M/Ž,/,Ljubljana,GEOINŽENIRING d.o.o.,https://www.zaposlitev.info/delo/geotehnicno-projektiranje-izvajanje-goelosko-geotehnicnih-raziskav-m-z/,"         	Izvajanje kabinetnih in terenskih del iz področja geomehanike, geotehnike in geologije",15.2.2021,Gorenjska,zaposlitev.info
MEHANIK - SERVISER,/,KRANJ,CREINA d.d.,https://www.zaposlitev.info/delo/mehanik-serviser/,"        Zaposlimo  MEHANIKA - SERVISERJA, za izvajanje del pri montaži kmetijske mehanizacije in vzdrževanju opreme komunalnih vozil ( standardna montažna dela, servisno vzdrževalna in obnovitvena dela).",12.2.2021,Gorenjska,zaposlitev.info
Varnostnik (m/ž) KRANJ,/,KRANJ,PROTECT INFRA d.o.o.,https://www.zaposlitev.info/delo/varnostnik-m-z-kranj-2/,"        Družba za zasebno varovanje z več kot 35 letno tradicijo in jasnim pogledom v prihodnost…Poslovna politika in usmeritev družbe PROTECT Infra d.o.o. temelji na zaupanju in kakovosti, ki smo jo zasnovali kot široko mero konsenza med potrebnim",12.2.2021,Gorenjska,zaposlitev.info
Varnostnik - mobilno varovanje m/ž LJUBLJANA,/,LJUBLJANA,PROTECT INFRA d.o.o.,https://www.zaposlitev.info/delo/varnostnik-mobilno-varovanje-m-z-ljubljana-2/,"        Družba za zasebno varovanje z več kot 35 letno tradicijo in jasnim pogledom v prihodnost…Poslovna politika in usmeritev družbe PROTECT Infra d.o.o. temelji na zaupanju in kakovosti, ki smo jo zasnovali kot široko mero konsenza med potrebnim",11.2.2021,Gorenjska,zaposlitev.info
KROVEC-KLEPAR,/,"Komenda, delo po terenu- Slovenija",ST SODNIK D.O.O.,https://www.zaposlitev.info/delo/krovec-klepar-3/,        V svojo družbo ST SODNIK d.o.o. vabimo izkušene krovce-kleparje z izpitom B kategorije.Več informacij na tel.: 041 711 099 ali tomaz.sodnik@stsodnik.si.,21.1.2021,Gorenjska,zaposlitev.info
RAČUNOVODJA - M/Ž,/,DOMŽALE,HRM REŠITVE d.o.o.,https://www.zaposlitev.info/delo/racunovodja-m-z/,"        Za našega naročnika, ki se ukvarja z računovodskim servisom, iščemo novo sodelavko/sodelavca za pozicijo RAČUNOVODJA.  Na delovnem mestu boste opravljali naslednje naloge: 	izvajanje dnevnih knjigovodskih opravil, vključno z vodenjem glav",18.2.2021,Gorenjska,zaposlitev.info
Slaščičar m/ž,/,Hrušica,"EMAZING CREATIONS, izdelava tort in slaščic, d.o.o.",https://www.zaposlitev.info/delo/slascicar-m-z/,"        Opis delovnih nalog: 	zmožnost samostojne priprave celotnega asortimana slaščic in tort po hišnih receptih in postopkih , 	učinkovitost in zbranost na delovnem mestu, 	uporaba in sledenje pridobljenih tehnik, 	zmožnost upoštevanja na",17.2.2021,Gorenjska,zaposlitev.info
Upravljalec stroja za razvrščanje hlodovine(bager),/,Dole nad Idrijo,Žaga Rupnik d.o.o.,https://www.zaposlitev.info/delo/upravljalec-stroja-za-razvrscanje-hlodovinebager-2/,        Razvrščanje hlodovine po kvaliteti. Krojenje hlodovine z motorno žago. Upravljanje in vzdrževanje hidravličnega dvigala. Upravljanje in vzdrževanje lupilne linije.   ,17.2.2021,Gorenjska,zaposlitev.info
Varnostnik (m/ž) LJUBLJANA - možnost subvencioniranja izobraževanja za NPK VARNOSTNIK,/,LJUBLJANA,PROTECT INFRA d.o.o.,https://www.zaposlitev.info/delo/varnostnik-m-z-ljubljana-moznost-subvencioniranja-izobrazevanja-za-npk-varnostnik-3/,"        Družba za zasebno varovanje z več kot 35 letno tradicijo in jasnim pogledom v prihodnost…Poslovna politika in usmeritev družbe PROTECT Infra d.o.o. temelji na zaupanju in kakovosti, ki smo jo zasnovali kot široko mero konsenza med potrebnim",17.2.2021,Gorenjska,zaposlitev.info
ELEKTRIČAR ZA ZAHTEVNA DELA Z IZKUŠNJAMI,/,Elmeh d.o.o.,Elmeh d.o.o.,https://www.zaposlitev.info/delo/elektricar-za-zahtevna-dela-z-izkusnjami-2/,"        Podjetje Elmeh d.o.o. je družinsko podjetje z dolgoletno tradicijo. Ukvarjamo se z montažo električne opreme na lesno obdelovalnih strojih.K sodelovanju vabimo osebe, ki so pri svojem delu odgovorne in si želijo dolgoročne zaposlitve.Nal",16.2.2021,Gorenjska,zaposlitev.info
Gozdar,/,Gorenjska,"Meglič Uroš s.p., Posek, spravilo in prevoz lesa",https://www.zaposlitev.info/delo/gozdar-3/,"        Gozdarski delavec za delo pri žičnem spravilu lesa, posek lesa ter ostala preprosta gozdarska dela. Zaželjene izkušnje ter izpit za delo z motorno žago.",15.2.2021,Gorenjska,zaposlitev.info
KLJUČAVNIČAR,/,KRANJ,CREINA d.d.,https://www.zaposlitev.info/delo/kljucavnicar-varilec/,"        Na področju komunalne opreme zaposlimo  KLJUČAVNIČARJA za izvajanje osnovnih in zahtevnejših del pri montaži in vzdrževanju opreme komunalnih vozil ( standardna montažna dela, servisno vzdrževalna in obnovitvena dela). Kandidat sodeluje pri ",15.2.2021,Gorenjska,zaposlitev.info
Varnostnik (m/ž) LJUBLJANA,/,LJUBLJANA,PROTECT INFRA d.o.o.,https://www.zaposlitev.info/delo/varnostnik-m-z-ljubljana-4/,"        Družba za zasebno varovanje z več kot 35 letno tradicijo in jasnim pogledom v prihodnost…Poslovna politika in usmeritev družbe PROTECT Infra d.o.o. temelji na zaupanju in kakovosti, ki smo jo zasnovali kot široko mero konsenza med potrebnim",12.2.2021,Gorenjska,zaposlitev.info
"Voznik B,C,E kat. v mednarodnem  cestnem prometu",/,"razni kraji, kjer koli","Gotrade d.o.o., mednarodni transport Spodnja Idrija",https://www.zaposlitev.info/delo/voznik-bce-kat-v-mednarodnem-cestnem-prometu-2/,"        Voznik B,C,E kat. v mednarodnem cestnem prometu.Največ delamo na relaciji Francija, Italija.",10.2.2021,Gorenjska,zaposlitev.info
VARILEC,/,KRANJ,CREINA d.d.,https://www.zaposlitev.info/delo/varilec-2/,        Zaposlimo VARILCA na področju kmetijske mehanizacije in v proizvodnji kaminskih peči.,05.2.2021,Gorenjska,zaposlitev.info
Pomožni gostinski delavec - DELILEC HRANE M/Ž,/,JESENICE,HRM REŠITVE d.o.o.,https://www.zaposlitev.info/delo/pomozni-gostinski-delavec-delilec-hrane-m-z-jesenice/,"        OPISZa našega naročnika  priznanega na trgu, iščemo novo sodelavko/sodelavca za pozicijo DELILEC HRANE – M/Ž.  Na delovnem mestu boste opravljali naslednje naloge: 	pomoč pri opravljanju pomožnih gostinskih del in nalog, 	delitev",03.2.2021,Gorenjska,zaposlitev.info
Mehanik,/,Šenčur,AGRO MOBIL D.O.O.,https://www.zaposlitev.info/delo/mehanik-3/,        Vzdrževanje tovornih vozil in priklic.,01.2.2021,Gorenjska,zaposlitev.info
VARNOSTNI TEHNIK,/,Ljubljana,"RIVAL - VTS, d.o.o.",https://www.zaposlitev.info/delo/varnostni-tehnik-3/,        Montaža in servisiranje protivlomnih  in požarnojavljalnih  alarmnih sistemov ter videonadzornih sistemov in kontrole pristopa.,01.2.2021,Gorenjska,zaposlitev.info
Električar,/,Elmeh d.o.o.,Elmeh d.o.o.,https://www.zaposlitev.info/delo/elektricar-2/,"        Podjetje Elmeh d.o.o. je družinsko podjetje z dolgoletno tradicijo. Ukvarjamo se z montažo električne opreme na lesno obdelovalnih strojih.K sodelovanju vabimo osebe, ki so pri svojem delu odgovorne in si želijo dolgoročne zaposlitve.Nal",26.1.2021,Gorenjska,zaposlitev.info
Vzdrževalec m/ž,/,Sežana,Kras d.o.o.,https://www.zaposlitev.info/delo/vzdrzevalec-m-z/,"        Izdelki podjetja Kras so izdelani za trg, za zadovoljevanje potreb in zahtev odjemalcev na konkurenčni osnovi. Sistem vodenja je nastal in se razvijal na osnovi znanj in spoznanj na trgu v tehnologiji, veterini, medicini in se navezuje na ...",19.2.2021,Notranjsko-kraška,zaposlitev.info
GRADBENI INŽENIR - STATIK – M/Ž,/,SEŽANA,HRM REŠITVE d.o.o.,https://www.zaposlitev.info/delo/gradbeni-inzenir-statik-m-z-2/,"        Za našega naročnika, prodorno podjetje iz Sežane, zaradi širitve poslovanja tudi na tuje trge iščemo novega sodelavca za delovno mesto: GRADBENI INŽENIR - STATIK – M/Ž.OPIS DELOVNEGA MESTA: 	izvedba statičnih izračunov gradbenih k",18.2.2021,Notranjsko-kraška,zaposlitev.info
Delavec v proizvodnji – moškega spola,/,Cerknica,Eclipse Print d.o.o.,https://www.zaposlitev.info/delo/delavec-v-proizvodnji-moskega-spola/,        V Eclipse Print d.o.o. v svoj kolektiv zaposlimo novega sodelavca v proizvodnji.Naloge novega sodelavca bodo: 	Delo na stroju za kaširanje in plastificiranje,12.2.2021,Notranjsko-kraška,zaposlitev.info
Varnostnik (m/ž) POSTOJNA,/,POSTOJNA,PROTECT INFRA d.o.o.,https://www.zaposlitev.info/delo/varnostnik-m-z-postojna-3/,"        Družba za zasebno varovanje z več kot 35 letno tradicijo in jasnim pogledom v prihodnost…Poslovna politika in usmeritev družbe PROTECT Infra d.o.o. temelji na zaupanju in kakovosti, ki smo jo zasnovali kot široko mero konsenza med potrebnim",12.2.2021,Notranjsko-kraška,zaposlitev.info
ARHITEKT NOTRANJE OPREME,/,Dutovlje,ADT d.o.o.,https://www.zaposlitev.info/delo/arhitekt-notranje-opreme-2/,         	načrtovanje notranje opreme 	priprava idejne zasnove v 3D tehniki 	izris pohištva ,29.1.2021,Notranjsko-kraška,zaposlitev.info
Telefonist,/,Postojna,SUBAN d.o.o,https://www.zaposlitev.info/delo/telefonist-2/,         	sprejemanje klicev strank 	procesiranje in urejanje naročil strank 	skrb za ohranjanje dobrih odnosov s kupci 	odgovarjanje na poštna sporočila 	druga opravila po navodilih nadrejenega,26.1.2021,Notranjsko-kraška,zaposlitev.info
Elektromonter,/,Leskovec pri Krškem,Willy Stadler d.o.o.,https://www.zaposlitev.info/delo/elektromonter-4/,"        Opis delovnih nalog: 	montaža elektro naprav, 	izvajanje elektro instalacij, 	vlečenje kablov, 	izvajanje modifikacij oz. elektro projektov, 	izvajanje elektro instalacij po projektih, 	montaža lastnih izdelkov, 	pregled izdelkov p",19.2.2021,Posavska,zaposlitev.info
Vodja gostinstva m/ž,/,Dobova,"Terme Paradiso, Cvetkovič Marjan  s.p.",https://www.zaposlitev.info/delo/vodja-gostinstva-m-z/,"         	Vodenje gostinskega dela lokala kuhinje in natakarjev, 	motiviranje zaposlenih, 	organizacija skupin....",11.2.2021,Posavska,zaposlitev.info
Skladiščnik,/,Nova Gorica,Imedia GSM d.o.o.,https://www.zaposlitev.info/delo/skladiscnik-2/,"         	Prevzem blaga, 	Izdaja blaga, 	Delo na računalniku (osnovna znanja), 	Preverjanje istovetnosti blaga in spremnih dokumentov, 	Opravljanje skladiščnih del po nalogih in zadolžitvah nadrejenega, 	Delo z viličarjem,",12.2.2021,Goriška,zaposlitev.info
Strojni inženir / inženir kakovosti,/,Ajdovscina,Metal design d.o.o. Ajdovscina,https://www.zaposlitev.info/delo/strojni-inzenir-inzenir-kakovosti-2/,"        Smo družinsko izvozno podjetje, proizvajalec jeklenih in aluminjastih izdelkov za tuje partnerje. Iščemo strojnega inženirja, ki bo prevzel vodenje oddelka kakovosti, v prihodnje pa tudi sodeloval pri razvoju izdelkov in drugih procesih. 	raz",09.2.2021,Goriška,zaposlitev.info
VOZNIK KAMIONA,/,"Slovenija, občasno Italija, Avstrija",MAREDA D.O.O.,https://www.zaposlitev.info/delo/voznik-kamiona-2/,        Dostava po Sloveniji in občasno Italija in Avstrija.,05.2.2021,Obalno-kraška,zaposlitev.info
Nepremičninski posrednik,/,Ljubljana,"Lucia tim d.o.o., PE Lucia nepremičnine",https://www.zaposlitev.info/delo/nepremicninski-posrednik-2/,        Primarna naloga je posredovanje pri nakupu in prodaji nepremičnin,15.2.2021,Osrednjeslovenska,zaposlitev.info
Delo v klicnem centru,/,Ljubljana,PORTATOR d.o.o. (PE: EnchPro),https://www.zaposlitev.info/delo/trznik-za-telekomunikacijsko-optimizacijo-3/,"        Iščemo komunikativne, pozitivno naravnane, odgovorne in zanesljive sodelavce za delo v telefonskem studiu. Si želite delati v prijetnem delovnem okolju? Pridružite se sproščenemu kolektivu v Ljubljani. Nudimo vam možnost odličnega zaslužka i",09.2.2021,Osrednjeslovenska,zaposlitev.info
Komercialist – svetovalec za kozmetiko (m/ž),/,Osrednjeslovenska regija,Bomerx d.o.o.,https://www.zaposlitev.info/delo/komercialist-svetovalec-za-kozmetiko-m-z/,"        Podjetje Bomerx d.o.o.  je priznano mednarodno podjetje in je del skupine, ki ima v lasti avstrijsko podjetje Beauty Solutions Handles gmbh in hrvaško podjetje RR Solutions d.o.o. Podjetja so specializirana za prodajo vrhunskih kozmetičnih...",01.2.2021,Osrednjeslovenska,zaposlitev.info
Disponent- kmercialist v logistiki,/,GROSUPLJE,MDM LOGISTIK D.O.O.,https://www.zaposlitev.info/delo/disponent-kmercialist-v-logistiki-2/,"        Disponent v logistiki (organizacija mednarodnih transportov, razporejanje delovnih nalogov podprevoznikom,   pridobivanje novih poslov , spremljanje stroškov prevozov in s tem povezana administracija kot je fakturiranje, spremljanje in obd...",29.1.2021,Osrednjeslovenska,zaposlitev.info
VODJA SLUŽBE ZDRAVSTVENE NEGE - M/Ž,/,OKOLICA LJUBLJANE,HRM REŠITVE d.o.o.,https://www.zaposlitev.info/delo/vodja-sluzbe-zdravstvene-nege-m-z/,"        Za našo stranko, večji dom starejših občanov v širši okolici Ljubljane iščemo novo sodelavko/sodelavca za delovno mesto VODJA SLUŽBE ZDRAVSTVENE NEGE (M/Ž).  OPIS DELOVNEGA MESTA (ključne naloge): 	samostojno vodenje, koordiniranj",19.2.2021,Osrednjeslovenska,zaposlitev.info
ELEKTROTEHNIK-ELEKTRONIK,/,Ljubljana,Odis d.o.o,https://www.zaposlitev.info/delo/elektrotehnik-elektronik-3/,         	terensko delo po celi Sloveniji 	servis ogrevalnih naprav na plin 	tehnik v plinski kotlovnici zamenja glave detektorjev plina in opravi preizkus delovanja alarmnega sistema 	izpolni vnaprej pripravljen zapisnik 	odpravi morebitne elektri,19.2.2021,Osrednjeslovenska,zaposlitev.info
Natakar m/ž,/,Ljubljana,"Izdelava štrukljev, PETER VOGELNIK s.p.",https://www.zaposlitev.info/delo/natakar-m-z-4/,         	Strežba hrane in pijače 	Delo poteka v lokalu ob Ljubljanici,18.2.2021,Osrednjeslovenska,zaposlitev.info
Servis gostinske opreme,/,Radomlje,Peterka Bojan s.p.,https://www.zaposlitev.info/delo/servis-gostinske-opreme-3/,        V svojo ekipo zaposlimo osebo za popravilo kava aparatov na terenu.,18.2.2021,Osrednjeslovenska,zaposlitev.info
Mizar / Monter stavbnega pohištva m/ž,/,Kamnik,KOSEC TIM d.o.o.,https://www.zaposlitev.info/delo/mizar-monter-stavbnega-pohistva-m-z-3/,"        Podjetje Kosec tim d.o.o. je podjetje, specializirano za prodajo in montažo oken, vrat in senčil. Smo pooblaščeni prodajalec za izdelke podjetja Inles d. d., slovenskega proizvajalca stavbnega pohištva z priznano kakovostjo in dolgoletno t...",18.2.2021,Osrednjeslovenska,zaposlitev.info
Prodajni predstavnik za špansko govoreče trge m/ž,/,Ljubljana,"ERPIUM, d.o.o.",https://www.zaposlitev.info/delo/prodajni-predstavnik-za-spansko-govorece-trge-m-z/,"        V svoje vrste vabimo komunikativno, organizirano, energično, odgovorno, prodajno naravnano osebo z razumevanjem delovanja tujih trgov.Prodajni predstavnik za špansko govoreče trge bo s proaktivnim, ciljno naravnanim pristopom našo storitev (S",17.2.2021,Osrednjeslovenska,zaposlitev.info
Prodajni predstavnik za nemško govoreče trge m/ž,/,Ljubljana,"ERPIUM, d.o.o.",https://www.zaposlitev.info/delo/prodajni-predstavnik-za-nemsko-govorece-trge-m-z/,"        V svoje vrste vabimo komunikativno, organizirano, energično, odgovorno, prodajno naravnano osebo z razumevanjem delovanja tujih trgov.Prodajni predstavnik za nemško govoreče trge bo s proaktivnim, ciljno naravnanim pristopom našo storitev ...",17.2.2021,Osrednjeslovenska,zaposlitev.info
